Screen Name,Location,Tweet
User Name,User Location,Tweet
mbhuyan_,From Majuli.,"Truly disappointed by experiencing worst connectivity of Jio @reliancejio . 
Jio becoming worst day by day . #jiospeed @JioCare"
Onlinegurupk2,"West Bengal, India","👍 on @YouTube: #Subhotam multitrade || How to Recharge Rs 1250 in Subhotam multitrade ||SMPLMART #JIO,#tech news,# https://t.co/aVoDMDt7Un"
Onlinegurupk2,"West Bengal, India","👍 on @YouTube: HOW TO EARN MONEY FROM HOME || SMPLMART BUSINESS plan || #SMPLMART #jiojob ,#jio #Recruitmen https://t.co/MErUNt6IpL"
suraj_kashyap,Delhi,@reliancejio @DoT_India @TRAI totally shameless reply still saying we are working to improve I m not satisfied with… https://t.co/39m6BTIlsH
RajKowshik11,"Assam, India","Hi ,
This is an unsuccessful transaction msg.
Your last payment attempt of Rs. 51.00 on Oct 14, 2020 06:28:16 PM fo… https://t.co/wrOM2UMWaT"
Ripan_Das6,"Agartala, India",@reliancejio #Airtel vs #Jio i love airtel i ht jio https://t.co/yvGi3mUgSi
suraj_kashyap,Delhi,@DoT_India @TRAI @JioCare jio can't resolve issue. almost 4 years but they said we r working #jio lots of jio conne… https://t.co/dDRgrKQ9YG
PowerSiliguri,"Siliguri, India","Follow us @PowerSiliguri

The Reserve Bank of India (#RBI) imposed #monetary #penalty on #DCB #Bank and #Jio… https://t.co/fJIzrEn267"
SaikiaPranjit,"Guwahati, Assam, India",Since yesterday I have seen only this on my #JioFiber router. Recently blinking red light become a habit on Jio rou… https://t.co/BNTQP5QbmX
krish92A,"Assam, India",I have been very much frustrated with the network availability of #Jio since last 6 months and it is still continui… https://t.co/8MoGRuzXvz
AhmedNazmus,"Guwahati, Assam","@IzazAhm517 @reliancejio @JioCare Last time I had posted the same and they replied with the DM link, I have DM them… https://t.co/8knyrbQCLq"
AryanHayat20,Guwahati ,very soon everybody will start port to other networks from jio including me because of their  ** network services s… https://t.co/dZeAdTNonn
IzazAhm517,"Guwahati, India","@reliancejio @JioCare 
Really very disappointed with the service providing by Jio.
It's worse then 2G service.
#jiospeed #jiofailed"
JhaArindam,"Raiganj, India",@Airtel_Presence  Got 6 1gb data promo after recharging with 598. 2 Redeemed but speed remains 64kbps. Facing same… https://t.co/oguADVv02w
User Name,User Location,Tweet
Ripan_Das6,"Agartala, India",@reliancejio #Airtel vs #Jio i love airtel i ht jio https://t.co/yvGi3mUgSi
User Name,User Location,Tweet
mbhuyan_,From Majuli.,"Truly disappointed by experiencing worst connectivity of Jio @reliancejio . 
Jio becoming worst day by day . #jiospeed @JioCare"
RajKowshik11,"Assam, India","Hi ,
This is an unsuccessful transaction msg.
Your last payment attempt of Rs. 51.00 on Oct 14, 2020 06:28:16 PM fo… https://t.co/wrOM2UMWaT"
SaikiaPranjit,"Guwahati, Assam, India",Since yesterday I have seen only this on my #JioFiber router. Recently blinking red light become a habit on Jio rou… https://t.co/BNTQP5QbmX
krish92A,"Assam, India",I have been very much frustrated with the network availability of #Jio since last 6 months and it is still continui… https://t.co/8MoGRuzXvz
AhmedNazmus,"Guwahati, Assam","@IzazAhm517 @reliancejio @JioCare Last time I had posted the same and they replied with the DM link, I have DM them… https://t.co/8knyrbQCLq"
AryanHayat20,Guwahati ,very soon everybody will start port to other networks from jio including me because of their  ** network services s… https://t.co/dZeAdTNonn
IzazAhm517,"Guwahati, India","@reliancejio @JioCare 
Really very disappointed with the service providing by Jio.
It's worse then 2G service.
#jiospeed #jiofailed"
KaalaTatta11,"Arunachal Pradesh, India","Just look at the condition of govt owned institution like #BSNL, #AirIndia #HAL and others while private institutio… https://t.co/9pims1NrPo"
User Name,User Location,Tweet
Harish_khatua,balasore,#Jio network is not working properly at #cuttack
milan_786_,"Kanpur, Uttar Pradesh",RT @Aathwa_ajooba_: Jio is getting worst. The network here in bhubaneswar area sucks since past 15 days.. worst quality calls and internet…
Aathwa_ajooba_,Bhubaneshwar ,Jio is getting worst. The network here in bhubaneswar area sucks since past 15 days.. worst quality calls and inter… https://t.co/duQZEkmENk
vishal42004,vizag,"Maximum call drops on jio, what's happening??? #jio #MukeshAmbani #trai"
Dreamytalks1,"Orissa, India","Jio Announces Three JioPhone All-in-One Annual Plans...

#jiophone #jiophone3 #jio https://t.co/9pGxyODACy"
Dreamytalks1,"Orissa, India","Annual Prepaid Plans of Airtel and Jio...

#jio #airtel #jioplans #airtelplans #jioprepaid https://t.co/R2Z3LWBHb4"
tonybbsr,"Bengaluru, India",@JioCare @TRAI No update?? What happened to you jio? Are you guys are sleeping now?? @reliancegroup #slowestnetwork #Airtel #jio
ankitinvests,"Raipur, India","its true. those who are using #JIO to log in #zerodha are unable to do so, I logged in using #airtel and its working fine...."
DhiruSahoo,"Hyderabad, India",Please @JioCare  do something and resolve the issue asap. It is very difficult to work from home. A single web page… https://t.co/SW0LjXRQ0o
Dreamytalks1,"Orissa, India","India's Top Telco and Broadband Subscribers

#telco #broadband #airtel #jio #telcom #jiofiber #airtelfiber https://t.co/W5Z1m5v7n5"
Abhishe80625299,Bhubaneswar,Plz increase the speed .....  #jiospeed   #IncreaseTheSpeedOfJio https://t.co/LIzkTDin1K
pymacbit,"Raipur, India","So this is how #jio is sucking money from its users 😅😂 

Back to old days , where we used to pay for caller-tunes https://t.co/SyyRuWU0G2"
User Name,User Location,Tweet
Sankartj,"Madurai,Tamil nadu","I have balance to send SMS. But, I don't have a jio plan.
Now, I need to do UPI SMS verification. 
Rs. 129 is the C… https://t.co/z0Pqn909fc"
Harsha3636,Shimoga/Bangalore ,@JTNBJP @narendramodi @rsprasad #jio the best network
ssllb_2022,"Tiruppur, India","Out of 20days only #jioFI is working 8-10 days only 3 days once the #4g network working in the city. 

There is no… https://t.co/oZYblRZz7j"
ibu_str,"coimbatore,tamil nadu,india",@JioCare @reliancejio DAY 24 NO ONE CARE ABOUT CUSTOMER WE WANT #JioFiber #JIO @AmbaniTina @RelianceDigital https://t.co/lwr9mv7S92
ibu_str,"coimbatore,tamil nadu,india",@JioCare @reliancejio DAY 23 NO ONE CARE ABOUT CUSTOMER WE WANT #JioFiber #JIO
mohanbn,"Bangalore, India","The new caps do not apply to #Reliance's #Jio #Payments Bank, or to #PayTM, because of their payments banking licen… https://t.co/X27s3zR8zX"
ibu_str,"coimbatore,tamil nadu,india",@JioCare @reliancejio DAY 22 NO ONE CARE ABOUT CUSTOMER WE WANT #JioFiber #JIO https://t.co/M0tK0UUOew
roobanponraj,"Chennai,India","ESNI with TLS1.3 f**ed you #jio 
Why doing too much traffic scanning, which creates worst TTFB"
iamamityadav143,"Bengaluru, India",Wow this is high 4g speed of @reliancejio @JioCare Network. Network varies between 0-20 kb/s which is quite promisi… https://t.co/gbkdt306jS
iamsazid6,"Bengaluru, India",Please improve your signal strength or stop selling sim cards from now 🙏🤦🏻 @reliancejio @JioCare @JioChat #jio… https://t.co/gG3coa7YBk
karthik_nmkl,"Namakkal, India",@thenameisvelu It's working for #JIO https://t.co/YlZYOTX4KV
Cloud_CIO_,"London, England","RT @3aiAssociation: Register Now: https://t.co/cWNfHsVlVI

For more details: https://t.co/FQSpzfiXvJ

#AI #Blockchain #Cybersecurity #Cloud…"
SargasmicNinja,Chennai,@hardikpandya7 @ishankishan51 &amp; @surya_14kumar are the best investment of #MukeshAmbani after #Jio
davkirbaby,"Chennai, India","I was keep on escalating to jio customer care and I appreciate their patience, they were not able to help me as the… https://t.co/ASvBlzVFgC"
mizdhanyamenon,"Kerala, India","Driven by flows into #Jio Platform at $15.34 b, #TowerInfrastructureTrust at $3.4 b and #Flipkart Online Services a… https://t.co/6GGJlD0vBI"
dipgupta1986,"Bengaluru, India","Some websites are not accessible with @JioCare network, but working fine with @Airtel_Presence #jio"
YIXUANTU1,"Paris, France","RT @sankushmedia: 🔆
-
-
Follow SANKUSHMEDIA for more stuffs ↩
@sankushmedia
-
-
#jio #google #facebook #data #jiodigital #digital #sankushm…"
sankushmedia,"Bengaluru, India","🔆
-
-
Follow SANKUSHMEDIA for more stuffs ↩
@sankushmedia
-
-
#jio #google #facebook #data #jiodigital #digital… https://t.co/CgZMbissMG"
pankajbhagwanii,"Bangalore, India","Just be aware there is no cancel button option on the @JioMart website.

you have to call or mail to cancel your or… https://t.co/8eq5VPBDtF"
_Gowtham_Shan_,"Tamil Nadu, India",Finally #RCS in #Googlemessage for #Jio numbers start rolling out in #India https://t.co/lxuerlc6wt
PradeepDass2,"Hosur, Tamil Nadu","Again the same issue at my work location no update and nothing.

One of my friend was a postpaid customer he is get… https://t.co/YHhyDp8z8a"
PradeepDass2,"Hosur, Tamil Nadu","These is how we are getting the 4g speed in our location. We are not even getting 2g these is how the service 
#jio… https://t.co/obvMVd3lxZ"
ibu_str,"coimbatore,tamil nadu,india",@JioCare @reliancejio DAY 21 NO ONE CARE ABOUT CUSTOMER WE WANT #JioFiber #JIO https://t.co/sBV5mzSEz6
1828rishu,"Karnataka, India",It's really sad to say that ACT Broadband has done nothing regarding my complaint even after requesting them multip… https://t.co/Mg3vQUXo0K
ramtweetshere,"Chennai, Tamil nadu, India","#NPCI gives #WhatsApp approval to launch on #UPI.

Whatsapp to work with five banks in India - #ICICI Bank, #HDFC b… https://t.co/bqNPyZZR9a"
ibu_str,"coimbatore,tamil nadu,india",@JioCare @reliancejio DAY 20 NO ONE CARE ABOUT CUSTOMER WE WANT #JioFiber #JIO https://t.co/1g6toAuBGj
kanlish_News,"Bengaluru, India","WhatsApp Pay To Start Operations In India
#WhatsAppPay #UPI #GooglePay #Facebook #Jio #Paytm #WhatsApp #KanlishNews
https://t.co/v80c3OGzUH"
DobbyAds,Bangalore,"JioMart's expansion, even as competitors like Grofers and Swiggy have limited their presence, will give it an added… https://t.co/1qHKUN5SiO"
Shreyan85825212,"Bangalore,Karnataka",RT @Shreyan85825212: Caution for #Airtel and #jio users please don't think of porting into Vodafone in Bangalore. They will lure you by off…
HRithmeticSol,India ↔️ World ,"Saudi Arabia's #PublicInvestmentFund invests 9.5Cr (2.04% stake) in #RelianceRetail. 

They had earlier picked up a… https://t.co/41EBHBAus5"
asthetic_ahole,"Bengaluru, India","Hi @reliancejio @JioCare , Please explain it to me, inspite of having full network and 4G data plan I am not able t… https://t.co/74jkt2yzpQ"
AravindDamodar,"Bengaluru, India",Sometimes Airtel is better than Jio #Airtel #jio https://t.co/el2IQsWouH
gotocartik,Tiruppur,The worst Network Ever. @reliancejio @JioCare  I will not recomend Jio for anyone.I'll change my network to… https://t.co/Epva7GXuoY
iamAru6733,"Haryana, India","RT @Rahul241966: Today 'VELOCITY' breaks 'RCB' record 
With all out of 47/10 in #jio WT20🔥🔥
@RCBTweets #RCB #ESCN https://t.co/xTfLlpFByw"
Shreyan85825212,"Bangalore,Karnataka",Caution for #Airtel and #jio users please don't think of porting into Vodafone in Bangalore. They will lure you by… https://t.co/K7ahkLZTZd
NirmalMaurya17,Bagi Ballia,"RT @Rahul241966: Today 'VELOCITY' breaks 'RCB' record 
With all out of 47/10 in #jio WT20🔥🔥
@RCBTweets #RCB #ESCN https://t.co/xTfLlpFByw"
Rahul241966,"Karnataka, India","Today 'VELOCITY' breaks 'RCB' record 
With all out of 47/10 in #jio WT20🔥🔥
@RCBTweets #RCB #ESCN https://t.co/xTfLlpFByw"
Certicom2,"Bengaluru, India","Latest News Updates:-
.
.
Join Us in Telegram:- https://t.co/XBxBeQDWly
Subscribe Our Youtube Channel:-… https://t.co/ASCfM85gxs"
Prajna13878570,"Bengaluru, India",@JioCare Please resolve bad network problem in my area. I am not able to work. I tried to connect your customer car… https://t.co/MIt24AkIKt
aasaistar,"Tamil Nadu, India","#JeffBezos #amazon vs #jio I am Indian so I don’t like @mukeshambani .. farmers, poor peoples are very problems in… https://t.co/6g9IVkc6Ha"
Singappooraan,,I am waiting for a week to get my #Jio Fiber broadband relocated to the new address. The customer service sucks. Ke… https://t.co/1dGt22KMbZ
ibu_str,"coimbatore,tamil nadu,india",@JioCare @reliancejio DAY 19 NO ONE CARE ABOUT CUSTOMER WE WANT #JioFiber #JIO https://t.co/z2c52kYJlk
care_DIR,WorldWideWeb,RT @rajes_twits: What happened to this @JioCare internet service.. Its worst like anything... Very very poor data speed for the past 1 mont…
rajeshvky7,Pallavaram,@M_Raj03 and Team Velocity Congratulations and Best wishes for your first victory against supernovas.. #Jio #wt20challenge
rajeshvky7,Pallavaram,@M_Raj03 and Team #Velocity.. Congratulations and best wishes for your first victory on #Jio #WT20 Sushma made a super knock..
prerna_aditi,Bangalore,@reliancejio is fooling pople by chargin us the amount of 4g internet and giving us an internet speed less than 2g… https://t.co/Yx1QsuV33B
_iamvjk_,"Kerala, India",@reliancejio Fix your damn internet!!. Like paying money and you give us a finger when we speed test! 😑 #jiospeed #Jiodown
Goutham8038,Bangalore,"Why is there lot of internet problem with #jio since past 4-5 days.
The 4g download speed is not even 1mb @JioCare @reliancejio"
VadivelS,"Coimbatore, India","@reliancejio network is almost dead. 

#jiospeed #Jio . Loading Loading. . . . 

#Erode #Nambiyur"
sumeetkumarp,"Bengaluru, India","New reports reveal the launch details of Jio Phone 5G, 5G plan pricing leaked. #Jio5G #technews #JioPhone5G #JIO… https://t.co/ijagcw2AQ3"
roopeshofficial,Chennai,"is anyone facing reduced data speed in Jio?  I'm noticing this since morning. 
@JioCare @reliancejio #jiospeed #Chennai"
ibu_str,"coimbatore,tamil nadu,india",@JioCare @reliancejio DAY 18 NO ONE CARE ABOUT CUSTOMER WE WANT #JioFiber #JIO https://t.co/nh1jjNFzYA
cybersec_feeds,Internet,"RT @3aiAssociation: Register Now: https://t.co/cWNfHsVlVI

For more details: https://t.co/FQSpzfiXvJ

#AI #Blockchain #Cybersecurity #Cloud…"
VkTwisty,"Cuddalore, India","RT @C_urrentAffairs: #Jio Named Title Sponsor For 2020 Women’s #T20 Challenge.

And 

#BCCI signs three-year kit sponsorship deal with #MPL"
C_urrentAffairs,"Tamil Nadu, India","#Jio Named Title Sponsor For 2020 Women’s #T20 Challenge.

And 

#BCCI signs three-year kit sponsorship deal with #MPL"
cybersec_feeds,Internet,"RT @3aiAssociation: Register Now: https://t.co/cWNfHsVlVI

For more details: https://t.co/FQSpzfiXvJ

#AI #Blockchain #Cybersecurity #Cloud…"
DhanrajaniS,Bangalore,"RT @3aiAssociation: Register Now: https://t.co/cWNfHsVlVI

For more details: https://t.co/FQSpzfiXvJ

#AI #Blockchain #Cybersecurity #Cloud…"
ErDilip_Patidar,"Shujalpur, India",RT @the_hindu: Just in: SC says its needs access to optic fibre network for better video conferencing for courts across the country. Sr adv…
3aiAssociation,Bangalore,"Register Now: https://t.co/cWNfHsVlVI

For more details: https://t.co/FQSpzfiXvJ

#AI #Blockchain #Cybersecurity… https://t.co/s0PPeJbjDC"
ShieldVoC,"Stockholm, Sweden","RT @Peria_saamy: @reliancejio horrible network issue 🤦 @Consumer2Court @jagograhakjago #jiospeed #horrible #worstcustomerservice , customer…"
gangadharkm,bangalore,"India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
-… https://t.co/lhFUFJrNta"
Peria_saamy,Bangalore,"@reliancejio horrible network issue 🤦 @Consumer2Court @jagograhakjago #jiospeed #horrible #worstcustomerservice , c… https://t.co/De8SR467yh"
Madhusudhan_s,"Bangalore, India","Don't want an AT&amp;T type oligarchy in India. 

Screw #Jio!"
Certicom2,"Bengaluru, India",Future Retail has said Singapore arbitrator's order in its dispute with Amazon regarding the Reliance deal is not e… https://t.co/Qy1RCzRo3N
Aboo_Thurab,"Kerala, India","Just tweeted I'm going to port to JIO. 
This is what happened in very next moment!!! 
@ViCustomerCare should learn… https://t.co/77iQhfZoLh"
TradingHydra,"Chennai, India","#Reliance almost at lower circuit 

#Nifty #SGXNIFTY #StockMarket #COVID19 #coronavirus #DowJones #Modi  #zerodha… https://t.co/9rQBc9jnbp"
meernadeemkhan,"Bangalore, India","Dear @reliancejio, I'm facing worst Internet speed from your side from several months, my all family members using… https://t.co/ATe9bclTnQ"
HarryAnalyst,"Chennai, India","@darshanvmehta1 Operationally #airtel had a better performance, even after all the offers of #Jio."
kants1983,"New Delhi, Delhi","RT @HarryAnalyst: #RELIANCE Q2 witnessed mixed performance, strong recovery in #Retail. Weak #Jio churn rate 5%, ARPU to Rs145 with 7.3mn n…"
HarryAnalyst,"Chennai, India","#RELIANCE Q2 witnessed mixed performance, strong recovery in #Retail. Weak #Jio churn rate 5%, ARPU to Rs145 with 7… https://t.co/mpku2iyGfS"
MonkeyAnomalous,Bangalore,"@CNBC_Awaaz @aseemmanchanda **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated… https://t.co/e2gc4t0QED"
MonkeyAnomalous,Bangalore,"@CNBCTV18Live **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated profit. FALL!… https://t.co/aJcwk065VK"
MonkeyAnomalous,Bangalore,"@CNBCTV18Live @ShereenBhan @archanajsr **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY co… https://t.co/cVb2tQU3v8"
MonkeyAnomalous,Bangalore,@CNBCTV18News @IDFCFIRSTBank @latha_venkatesh @_soniashenoy @kothariabhishek **YOU WILL NOT SEE THIS ON #CNBC**… https://t.co/zffIdiyFQT
MonkeyAnomalous,Bangalore,"@CNBCTV18News @bajaj_ltd @_anujsinghal @latha_venkatesh @_soniashenoy **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance… https://t.co/T8kxCsblBM"
MonkeyAnomalous,Bangalore,"@CNBCTV18Live @_soniashenoy @Parikshitl @Alisha2494 **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% F… https://t.co/ob3j8f3VDy"
MonkeyAnomalous,Bangalore,"@CNBCTV18News **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated profit. FALL!… https://t.co/FNSPX6uNfb"
MonkeyAnomalous,Bangalore,"@CNBC_Awaaz @SumitResearch **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated p… https://t.co/E52pBwRPEJ"
rajes_twits,"chennai,india",What happened to this @JioCare internet service.. Its worst like anything... Very very poor data speed for the past… https://t.co/lQIb6ZTSAZ
MonkeyAnomalous,Bangalore,"@CNBC_Awaaz @virendraonNifty **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated… https://t.co/gRvc6ZHUVh"
MonkeyAnomalous,Bangalore,"@CNBCTV18News @ICICIBank @latha_venkatesh @_soniashenoy **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 1… https://t.co/pdsDi55LKI"
MonkeyAnomalous,Bangalore,"@CNBCTV18News @blitzkreigm **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated p… https://t.co/ebpk4HXmpb"
MonkeyAnomalous,Bangalore,"@NDTVProfit **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated profit. FALL!… https://t.co/Y330p83CLK"
MonkeyAnomalous,Bangalore,"@CNBCTV18News @_soniashenoy **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated… https://t.co/tmGrtPTJ32"
MonkeyAnomalous,Bangalore,"@CNBCTV18News @Reematendulkar **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidate… https://t.co/UULXXF3vFA"
MonkeyAnomalous,Bangalore,"@CNBCTV18News **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated profit. FALL!… https://t.co/cziHOejZs8"
MonkeyAnomalous,Bangalore,"@CNBCTV18Live **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated profit. FALL!… https://t.co/M4LmZRRGLL"
MonkeyAnomalous,Bangalore,"@CNBCTV18Live **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated profit. FALL!… https://t.co/TUeJGRXKnO"
MonkeyAnomalous,Bangalore,"@CNBCTV18Live **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated profit. FALL!… https://t.co/JVfrGoA5aD"
MonkeyAnomalous,Bangalore,"@CNBCTV18News @_soniashenoy **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated… https://t.co/zYe1T7YRmU"
MonkeyAnomalous,Bangalore,"@CNBCTV18News @TimsyJaipuria @FinMinIndia **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY… https://t.co/MqE3t0IXzm"
MonkeyAnomalous,Bangalore,"@AnilSinghvi_ @ZeeBusiness **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated p… https://t.co/wNcWAwvG7H"
MonkeyAnomalous,Bangalore,"@CNBCTV18News **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated profit. FALL!… https://t.co/7gEJOgir9s"
MonkeyAnomalous,Bangalore,"@AEHarshada @CNBC_Awaaz **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated prof… https://t.co/fc8fvoIDrV"
MonkeyAnomalous,Bangalore,"@AEHarshada @CNBC_Awaaz **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated prof… https://t.co/Z50z6oVpc6"
MonkeyAnomalous,Bangalore,"@Nigel__DSouza **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated profit. FALL!… https://t.co/DR7JWlT8iu"
MonkeyAnomalous,Bangalore,"@CNBCTV18News @ICICIBank @kothariabhishek **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY… https://t.co/XxMfq9MvWZ"
MonkeyAnomalous,Bangalore,"@ETNOWlive @AyeshaFaridi1 @nikunjdalmia @AabhaBakaya **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15%… https://t.co/2en3dtHLkW"
MonkeyAnomalous,Bangalore,"@ETNOWlive **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated profit. FALL!… https://t.co/CSYNvs3y7G"
MonkeyAnomalous,Bangalore,"@nimeshscnbc @CNBCTV18News **YOU WILL NOT SEE THIS ON #CNBC**

#Reliance Ind reports 15% FALL in YoY consolidated p… https://t.co/dxKFfosyBi"
User Name,User Location,Tweet
VivekKampasi,"Jammu Kashmir नई दिल्ली, भारत",RT @TenantForever: Long fibers laid without connectivity. Gone thz dys  venture/byzns try best to win customer. Dyz r like when the mst imp…
Im_Jainendra,"New Delhi, India","@reliancejio Internet speed is getting worst each n every day at our location Gorakhpur, UP. @JioCare has not taken… https://t.co/tqliA6HSFi"
TenantForever,"New Delhi, India",Long fibers laid without connectivity. Gone thz dys  venture/byzns try best to win customer. Dyz r like when the ms… https://t.co/L8ZBZUMsPd
MicrosoftRTweet,From the Cloud,"RT @Krsiddharth_biz: Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are imp…"
Krsiddharth_biz,Ghaziabad,"Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are… https://t.co/cidjier19z"
MicrosoftRTweet,From the Cloud,"RT @Krsiddharth_biz: Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are imp…"
Krsiddharth_biz,Ghaziabad,"Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are… https://t.co/ugyqeaXbs5"
pulkit_thedude,"New Delhi, India","#DelhiAirQuality
Is it me or somebody else noticed?
Smog slowing down the 4G data speed
#Airtel #jio"
BasetiaSai,"New Delhi, India","Coming Soon....
Jio DIGITAL LIFE
Jio Dhan Dhana Dhan......
Any one guess what is the Latest Product of Jio.
We are… https://t.co/QOREv2IlbZ"
ranajig,"New Delhi, India",@geetv79 Super Intelligence will be when Internet in India will be declared a National Resource...an essential comm… https://t.co/fbuDtglyUP
VinayKu30300765,"Gorakhpur, India",RT @VinayKu30300765: #jio internet speed is coming very slow in a my city  #gorakhpur @reliancejio @JioCare @DoT_India @rsprasad @PMOIndia…
MicrosoftRTweet,From the Cloud,"RT @Krsiddharth_biz: Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are imp…"
Krsiddharth_biz,Ghaziabad,"Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are… https://t.co/xWM2eisGuZ"
MicrosoftRTweet,From the Cloud,"RT @Krsiddharth_biz: Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are imp…"
Krsiddharth_biz,Ghaziabad,"Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are… https://t.co/rOzlTJLPar"
MicrosoftRTweet,From the Cloud,"RT @Krsiddharth_biz: Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are imp…"
Krsiddharth_biz,Ghaziabad,"Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are… https://t.co/U3WpKednNv"
MicrosoftRTweet,From the Cloud,"RT @Krsiddharth_biz: Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are imp…"
Krsiddharth_biz,Ghaziabad,"Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are… https://t.co/LI6MKc1JAO"
MicrosoftRTweet,From the Cloud,"RT @Krsiddharth_biz: Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are imp…"
Krsiddharth_biz,Ghaziabad,"Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are… https://t.co/rsrXDA59GQ"
JaiLakshwani,"Delhi,India",@Airtel_Presence @airtelindia if your IT infrastructure is not ready yet to start broadband connection for the new… https://t.co/jfsNqzxU2H
ranajig,"New Delhi, India",@shirishag75 @terence_fdes The 1st. thing that @INCIndia should do is nationalize Internet as it has become an Esse… https://t.co/yxUVL8I3es
shirishag75,Pune,RT @ranajig: @terence_fdes Its #JioMart...thats why the Monopoly of Internet providers must end...Nationalise #JIO ASAP...
ranajig,"New Delhi, India",@terence_fdes Its #JioMart...thats why the Monopoly of Internet providers must end...Nationalise #JIO ASAP...
SmartDrongo,"Thanesar, India","RT @ChopRashubham80: @JioCare worst network. And i have ported my number from airtel to jio. But you are the worst. 
Pin -132024
#Dachar #n…"
ChopRashubham80,"New Delhi, India","@JioCare worst network. And i have ported my number from airtel to jio. But you are the worst. 
Pin -132024
#Dachar… https://t.co/WSgPjbtzYe"
MAYANK8382,"Ahmadabad City, India","RT @ParthaB34769052: #BSNL rated the best but lost the telecom war to #Airtel, #Jio, #Idea why ?
 https://t.co/l5QoFzKNEX"
ParthaB34769052,"Chandigarh, India","#BSNL rated the best but lost the telecom war to #Airtel, #Jio, #Idea why ?
 https://t.co/l5QoFzKNEX"
ARathi_1988,"New Delhi, India","Shame on you #airtel 

This is what you call as the fastest network according to #ookla 

With full 4G Network sign… https://t.co/OrcPHs1h33"
HarshRa40775502,,"RT @kasifiqbal4700: #jio 👎 
They are fooling us on the name of #jio customer care.
Time to port my jio sum.
@JioCare 
@reliancejio"
